PassengerId,Survived,Pclass,Age,SibSp,Parch,Ticket,Fare,Sex,SurnameID,AverageSurvivalRate,Surname_encoded,Embarked_encoded,Speech_encoded
103,0.0,1,21.0,0,1,35281,77.2875,1,97,0.0,840,2,12
104,0.0,3,33.0,0,0,7540,8.6542,1,98,0.0,380,2,12
105,0.0,3,37.0,2,0,3101276,7.925,1,99,0.0,301,2,12
106,0.0,3,28.0,0,0,349207,7.8958,1,100,0.0,528,2,12
107,1.0,3,21.0,0,0,343120,7.65,0,101,1.0,703,2,9
108,1.0,3,26.56,0,0,312991,7.775,1,102,1.0,542,2,12
109,0.0,3,38.0,0,0,349249,7.8958,1,103,0.0,658,2,12
110,1.0,3,18.485,1,0,371110,24.15,0,5,0.3333333333333333,538,1,9
111,0.0,1,47.0,0,0,110465,52.0,1,104,0.0,649,2,12
112,0.0,3,14.5,1,0,2665,14.4542,0,105,0.0,865,0,9
113,0.0,3,22.0,0,0,324669,8.05,1,106,0.0,57,2,12
114,0.0,3,20.0,1,0,4136,9.825,0,107,0.3333333333333333,388,2,9
115,0.0,3,17.0,0,0,2627,14.4583,0,108,0.0,38,0,9
116,0.0,3,21.0,0,0,STON/O 2. 3101294,7.925,1,109,0.0,625,2,12
117,0.0,3,70.5,0,0,370369,7.75,1,110,0.0,167,1,12
118,0.0,2,29.0,1,0,11668,21.0,1,39,0.0,809,2,12
119,0.0,1,24.0,0,1,PC 17558,247.5208,1,111,0.5,60,0,12
120,0.0,3,2.0,4,2,347082,31.275,0,13,0.2222222222222222,21,2,9
121,0.0,2,21.0,2,0,S.O.C. 14879,73.5,1,112,0.0,337,2,12
122,0.0,3,36.26,0,0,A4. 54510,8.05,1,113,0.0,537,2,12
123,0.0,2,32.5,1,0,237736,30.0708,1,9,0.5,559,0,12
124,1.0,2,32.5,0,0,27267,13.0,0,114,0.5,831,2,9
125,0.0,1,54.0,0,1,35281,77.2875,1,97,0.0,840,2,12
126,1.0,3,12.0,1,0,2651,11.2417,1,37,1.0,569,0,8
127,0.0,3,31.895,0,0,370372,7.75,1,115,0.0,511,1,12
128,1.0,3,24.0,0,0,C 17369,7.1417,1,116,1.0,476,2,12
129,1.0,3,4.424266666666667,1,1,2668,22.3583,0,117,1.0,634,0,9
130,0.0,3,45.0,0,0,347061,6.975,1,118,0.0,233,2,12
131,0.0,3,33.0,0,0,349241,7.8958,1,119,0.0,221,0,12
132,0.0,3,20.0,0,0,SOTON/O.Q. 3101307,7.05,1,120,0.0,154,2,12
133,0.0,3,47.0,1,0,A/5. 3337,14.5,0,121,0.0,675,2,13
134,1.0,2,29.0,1,0,228414,26.0,0,122,1.0,833,2,13
135,0.0,2,25.0,0,0,C.A. 29178,13.0,1,123,0.0,750,2,12
136,0.0,2,23.0,0,0,SC/PARIS 2133,15.0458,1,124,0.0,665,0,12
137,1.0,1,19.0,0,2,11752,26.2833,0,125,1.0,566,2,9
138,0.0,1,37.0,1,0,113803,53.1,1,3,0.5,267,2,12
139,0.0,3,16.0,0,0,7534,9.2167,1,126,0.0,599,2,12
140,0.0,1,24.0,0,0,PC 17593,79.2,1,127,0.0,279,0,12
141,0.0,3,33.55,0,2,2678,15.2458,0,128,0.0,90,0,13
142,1.0,3,22.0,0,0,347081,7.75,0,129,1.0,580,2,9
143,1.0,3,24.0,1,0,STON/O2. 3101279,15.85,0,130,0.5,305,2,13
144,0.0,3,19.0,0,0,365222,6.75,1,131,0.0,108,1,12
145,0.0,2,18.0,0,0,231945,11.5,1,132,0.0,23,2,12
146,0.0,2,19.0,1,1,C.A. 33112,36.75,1,133,0.0,567,2,12
147,1.0,3,27.0,0,0,350043,7.7958,1,13,0.2222222222222222,21,2,12
148,0.0,3,9.0,2,2,W./C. 6608,34.375,0,82,0.0,255,2,9
149,0.0,2,36.5,0,2,230080,26.0,1,134,0.6666666666666666,562,2,12
150,0.0,2,42.0,0,0,244310,13.0,1,135,0.0,113,2,15
151,0.0,2,51.0,0,0,S.O.P. 1166,12.525,1,136,0.0,58,2,15
152,1.0,1,22.0,1,0,113776,66.6,0,137,0.5,622,2,13
153,0.0,3,55.5,0,0,A.5. 11206,8.05,1,138,0.0,518,2,12
154,0.0,3,40.5,0,2,A/5. 851,14.5,1,139,0.0,873,2,12
155,0.0,3,27.79,0,0,Fa 265302,7.3125,1,140,0.0,594,2,12
156,0.0,1,51.0,0,1,PC 17597,61.3792,1,17,0.25,850,0,12
157,1.0,3,16.0,0,0,35851,7.7333,0,141,1.0,285,1,9
158,0.0,3,30.0,0,0,SOTON/OQ 392090,8.05,1,142,0.0,172,2,12
159,0.0,3,27.592,0,0,315037,8.6625,1,143,0.0,746,2,12
160,0.0,3,13.199066666666665,8,2,CA. 2343,69.55,1,144,0.0,700,2,8
161,0.0,3,44.0,0,1,371362,16.1,1,145,0.0,179,2,12
162,1.0,2,40.0,0,0,C.A. 33595,15.75,0,146,1.0,830,2,13
163,0.0,3,26.0,0,0,347068,7.775,1,147,0.0,70,2,12
164,0.0,3,17.0,0,0,315093,8.6625,1,148,0.0,119,2,12
165,0.0,3,1.0,4,1,3101295,39.6875,1,48,0.0,609,2,8
166,1.0,3,9.0,0,2,363291,20.525,1,149,0.6666666666666666,290,2,8
167,1.0,1,38.09,0,1,113505,55.0,0,150,1.0,144,2,13
168,0.0,3,45.0,1,4,347088,27.9,0,61,0.0,739,2,13
169,0.0,1,52.39,0,0,PC 17318,25.925,1,151,0.0,59,2,12
170,0.0,3,28.0,0,0,1601,56.4958,1,152,0.0,456,2,12
171,0.0,1,61.0,0,0,111240,33.5,1,153,0.0,812,2,12
172,0.0,3,4.0,4,1,382652,29.125,1,16,0.0,664,1,8
173,1.0,3,1.0,1,1,347742,11.1333,0,8,0.5,382,2,9
174,0.0,3,21.0,0,0,STON/O 2. 3101280,7.925,1,154,0.0,736,2,12
175,0.0,1,56.0,0,0,17764,30.6958,1,155,0.25,747,0,12
176,0.0,3,18.0,1,1,350404,7.8542,1,156,0.0,413,2,12
177,0.0,3,4.643611111111112,3,1,4133,25.4667,1,157,0.0,434,2,8
178,0.0,1,50.0,0,0,PC 17595,28.7125,0,158,0.0,365,0,9
179,0.0,2,30.0,0,0,250653,13.0,1,159,0.0,306,2,12
180,0.0,3,36.0,0,0,LINE,0.0,1,160,0.0,441,2,12
181,0.0,3,17.825,8,2,CA. 2343,69.55,0,144,0.0,700,2,9
182,0.0,2,27.97,0,0,SC/PARIS 2131,15.05,1,161,0.0,630,0,12
183,0.0,3,9.0,4,2,347077,31.3875,1,24,0.75,33,2,8
184,1.0,2,1.0,2,1,230136,39.0,1,162,1.0,66,2,8
185,1.0,3,4.0,0,2,315153,22.025,0,163,1.0,410,2,9
186,0.0,1,39.21,0,0,113767,50.0,1,164,0.0,680,2,12
187,1.0,3,30.66,1,0,370365,15.5,0,165,0.3333333333333333,582,1,13
188,1.0,1,45.0,0,0,111428,26.55,1,166,1.0,678,2,12
189,0.0,3,40.0,1,1,364849,15.5,1,167,0.0,91,1,12
190,0.0,3,36.0,0,0,349247,7.8958,1,168,0.0,806,2,12
191,1.0,2,32.0,0,0,234604,13.0,0,169,1.0,644,2,13
192,0.0,2,19.0,0,0,28424,13.0,1,170,0.0,126,2,12
193,1.0,3,19.0,1,0,350046,7.8542,0,171,1.0,19,2,9
194,1.0,2,3.0,1,1,230080,26.0,1,134,0.6666666666666666,562,2,8
195,1.0,1,44.0,0,0,PC 17610,27.7208,0,172,0.75,104,0,13
196,1.0,1,58.0,0,0,PC 17569,146.5208,0,173,1.0,470,0,9
197,0.0,3,32.77,0,0,368703,7.75,1,174,0.0,519,1,12
198,0.0,3,42.0,0,1,4579,8.4042,1,140,0.0,594,2,12
199,1.0,3,21.9,0,0,370370,7.75,0,175,1.0,474,1,9
200,0.0,2,24.0,0,0,248747,13.0,0,176,0.0,864,2,9
201,0.0,3,28.0,0,0,345770,9.5,1,177,0.0,814,2,12
202,0.0,3,20.18566666666667,8,2,CA. 2343,69.55,1,144,0.0,700,2,12
203,0.0,3,34.0,0,0,3101264,6.4958,1,178,0.0,379,2,12
204,0.0,3,45.5,0,0,2628,7.225,1,179,0.0,861,0,12
205,1.0,3,18.0,0,0,A/5 3540,8.05,1,180,1.0,155,2,12
206,0.0,3,2.0,0,1,347054,10.4625,0,181,0.0,774,2,9
207,0.0,3,32.0,1,0,3101278,15.85,1,81,0.5,43,2,12
208,1.0,3,26.0,0,0,2699,18.7875,1,182,1.0,10,0,12
209,1.0,3,16.0,0,0,367231,7.75,0,183,1.0,129,1,9
210,1.0,1,40.0,0,0,112277,31.0,1,184,1.0,85,0,12
211,0.0,3,24.0,0,0,SOTON/O.Q. 3101311,7.05,1,185,0.0,14,2,12
212,1.0,2,35.0,0,0,F.C.C. 13528,21.0,0,186,1.0,120,2,9
213,0.0,3,22.0,0,0,A/5 21174,7.25,1,187,0.0,629,2,12
214,0.0,2,30.0,0,0,250646,13.0,1,188,0.0,286,2,12
215,0.0,3,27.86333333333333,1,0,367229,7.75,1,189,0.0,406,1,12
216,1.0,1,31.0,1,0,35273,113.275,0,190,0.6666666666666666,565,0,9
217,1.0,3,27.0,0,0,STON/O2. 3101283,7.925,0,191,1.0,351,2,9
218,0.0,2,42.0,1,0,243847,27.0,1,192,0.5,368,2,12
219,1.0,1,32.0,0,0,11813,76.2917,0,193,1.0,61,0,9
220,0.0,2,30.0,0,0,W/C 14208,10.5,1,60,0.5,317,2,12
221,1.0,3,16.0,0,0,SOTON/OQ 392089,8.05,1,194,1.0,775,2,12
222,0.0,2,27.0,0,0,220367,13.0,1,195,0.0,95,2,12
223,0.0,3,51.0,0,0,21440,8.05,1,196,0.0,295,2,12
224,0.0,3,25.275,0,0,349234,7.8958,1,197,0.0,563,2,12
225,1.0,1,38.0,1,0,19943,90.0,1,198,0.6666666666666666,356,2,12
226,0.0,3,22.0,0,0,PP 4348,9.35,1,199,0.0,72,2,12
227,1.0,2,19.0,0,0,SW/PP 751,10.5,1,200,1.0,517,2,12
228,0.0,3,20.5,0,0,A/5 21173,7.25,1,201,0.0,465,2,12
229,0.0,2,18.0,0,0,236171,13.0,1,202,0.0,243,2,12
230,0.0,3,6.020166666666666,3,1,4133,25.4667,0,157,0.0,434,2,9
231,1.0,1,35.0,1,0,36973,83.475,0,60,0.5,317,2,13
232,0.0,3,29.0,0,0,347067,7.775,1,203,0.0,429,2,12
233,0.0,2,59.0,0,0,237442,13.5,1,204,0.0,738,2,12
234,1.0,3,5.0,4,2,347077,31.3875,0,24,0.75,33,2,9
235,0.0,2,24.0,0,0,C.A. 29566,10.5,1,205,0.0,446,2,12
236,0.0,3,25.855,0,0,W./C. 6609,7.55,0,206,0.0,313,2,9
237,0.0,2,44.0,1,0,26707,26.0,1,207,0.0,346,2,12
238,1.0,2,8.0,0,2,C.A. 31921,26.25,0,208,0.6666666666666666,162,2,9
239,0.0,2,19.0,0,0,28665,10.5,1,209,0.0,628,2,12
240,0.0,2,33.0,0,0,SCO/W 1585,12.275,1,210,0.0,358,2,12
241,0.0,3,15.575,1,0,2665,14.4542,0,105,0.0,865,0,9
242,1.0,3,16.72,1,0,367230,15.5,0,211,1.0,550,1,9
243,0.0,2,29.0,0,0,W./C. 14263,10.5,1,212,0.0,158,2,12
244,0.0,3,22.0,0,0,STON/O 2. 3101275,7.125,1,213,0.0,477,2,12
245,0.0,3,30.0,0,0,2694,7.225,1,108,0.0,38,0,12
246,0.0,1,44.0,2,0,19928,90.0,1,214,0.5,525,1,4
247,0.0,3,25.0,0,0,347071,7.775,0,215,0.0,448,2,9
248,1.0,2,24.0,0,2,250649,14.5,0,216,1.0,307,2,13
249,1.0,1,37.0,1,1,11751,52.5542,1,217,1.0,67,2,12
250,0.0,2,54.0,1,0,244252,26.0,1,218,0.6666666666666666,131,2,15
251,0.0,3,29.13,0,0,362316,7.25,1,219,0.0,656,2,12
252,0.0,3,29.0,1,1,347054,10.4625,0,181,0.0,774,2,13
253,0.0,1,62.0,0,0,113514,26.55,1,220,0.0,762,2,12
254,0.0,3,30.0,1,0,A/5. 3336,16.1,1,221,0.0,459,2,12
255,0.0,3,41.0,0,2,370129,20.2125,0,222,0.0,681,2,13
256,1.0,3,29.0,0,2,2650,15.2458,0,223,1.0,801,0,13
257,1.0,1,51.4,0,0,PC 17585,79.2,0,224,1.0,790,0,13
258,1.0,1,30.0,0,0,110152,86.5,0,225,1.0,142,2,9
259,1.0,1,35.0,0,0,PC 17755,512.3292,0,226,1.0,826,0,9
260,1.0,2,50.0,0,1,230433,26.0,0,227,1.0,613,2,13
261,0.0,3,30.675,0,0,384461,7.75,1,155,0.25,747,1,12
262,1.0,3,3.0,4,2,347077,31.3875,1,24,0.75,33,2,8
263,0.0,1,52.0,1,1,110413,79.65,1,228,0.6666666666666666,783,2,12
264,0.0,1,40.0,0,0,112059,0.0,1,229,0.0,318,2,12
265,0.0,3,25.09,0,0,382649,7.75,0,230,0.0,334,1,9
266,0.0,2,36.0,0,0,C.A. 17248,10.5,1,231,0.0,657,2,12
267,0.0,3,16.0,4,1,3101295,39.6875,1,48,0.0,609,2,12
268,1.0,3,25.0,1,0,347083,7.775,1,232,1.0,632,2,12
269,1.0,1,58.0,0,1,PC 17582,153.4625,0,233,0.6666666666666666,294,2,13
270,1.0,1,35.0,0,0,PC 17760,135.6333,0,234,1.0,81,2,9
271,0.0,1,39.91,0,0,113798,31.0,1,235,0.0,116,2,12
272,1.0,3,25.0,0,0,LINE,0.0,1,236,1.0,799,2,12
273,1.0,2,41.0,0,1,250644,19.5,0,237,1.0,516,2,13
274,0.0,1,37.0,0,1,PC 17596,29.7,1,238,0.0,560,0,12
275,1.0,3,20.615,0,0,370375,7.75,0,239,1.0,325,1,9
276,1.0,1,63.0,1,0,13502,77.9583,0,240,0.5,24,2,9
277,0.0,3,45.0,0,0,347073,7.75,0,241,0.0,449,2,9
278,0.0,2,46.01,0,0,239853,0.0,1,242,0.0,611,2,12
279,0.0,3,7.0,4,1,382652,29.125,1,16,0.0,664,1,8
280,1.0,3,35.0,1,1,C.A. 2673,20.25,0,243,0.5,1,2,13
281,0.0,3,65.0,0,0,336439,7.75,1,244,0.0,223,1,12
282,0.0,3,28.0,0,0,347464,7.8542,1,245,0.0,595,2,12
283,0.0,3,16.0,0,0,345778,9.5,1,246,0.0,871,2,12
284,1.0,3,19.0,0,0,A/5. 10482,8.05,1,247,1.0,215,2,12
285,0.0,1,51.19,0,0,113056,26.0,1,155,0.25,747,2,12
286,0.0,3,33.0,0,0,349239,8.6625,1,248,0.0,759,0,12
287,1.0,3,30.0,0,0,345774,9.5,1,249,1.0,870,2,12
288,0.0,3,22.0,0,0,349206,7.8958,1,250,0.0,553,2,12
289,1.0,2,42.0,0,0,237798,13.0,1,251,1.0,354,2,12
290,1.0,3,22.0,0,0,370373,7.75,0,252,1.0,166,1,9
291,1.0,1,26.0,0,0,19877,78.85,0,253,1.0,54,2,9
292,1.0,1,19.0,1,0,11967,91.0792,0,254,1.0,80,0,13
293,0.0,2,36.0,0,0,SC/Paris 2163,12.875,1,255,0.0,444,0,12
294,0.0,3,24.0,0,0,349236,8.85,0,256,0.0,302,2,9
295,0.0,3,24.0,0,0,349233,7.8958,1,257,0.0,526,2,12
296,0.0,1,44.085,0,0,PC 17612,27.7208,1,258,0.0,445,0,12
297,0.0,3,23.5,0,0,2693,7.2292,1,259,0.0,309,0,12
298,0.0,1,2.0,1,2,113781,151.55,0,260,0.3333333333333333,16,2,9
299,1.0,1,38.75,0,0,19988,30.5,1,261,1.0,696,2,12
300,1.0,1,50.0,0,1,PC 17558,247.5208,0,111,0.5,60,0,13
301,1.0,3,21.815,0,0,9234,7.75,0,262,0.75,401,1,9
302,1.0,3,25.546666666666667,2,0,367226,23.25,1,263,1.0,502,1,12
303,0.0,3,19.0,0,0,LINE,0.0,1,8,0.5,382,2,12
304,1.0,2,28.525,0,0,226593,12.35,0,264,0.5,398,1,9
305,0.0,3,30.11,0,0,A/5 2466,8.05,1,17,0.25,850,2,12
306,1.0,1,0.92,1,2,113781,151.55,1,260,0.3333333333333333,16,2,8
307,1.0,1,32.85,0,0,17421,110.8833,0,265,1.0,251,0,9
308,1.0,1,17.0,1,0,PC 17758,108.9,0,266,0.5,627,0,13
309,0.0,2,30.0,1,0,P/PP 3381,24.0,1,267,0.5,3,0,12
310,1.0,1,30.0,0,0,PC 17485,56.9292,0,268,1.0,259,0,9
311,1.0,1,24.0,0,0,11767,83.1583,0,269,1.0,323,0,9
312,1.0,1,18.0,2,2,PC 17608,262.375,0,270,1.0,693,0,9
313,0.0,2,26.0,1,1,250651,26.0,0,271,0.0,420,2,13
314,0.0,3,28.0,0,0,349243,7.8958,1,272,0.0,332,2,12
315,0.0,2,43.0,1,1,F.C.C. 13529,26.25,1,273,0.5,319,2,12
316,1.0,3,26.0,0,0,347470,7.8542,0,274,1.0,572,2,9
317,1.0,2,24.0,1,0,244367,26.0,0,94,0.5,391,2,13
318,0.0,2,54.0,0,0,29011,14.0,1,275,0.0,539,2,4
319,1.0,1,31.0,0,2,36928,164.8667,0,276,1.0,841,2,9
320,1.0,1,40.0,1,1,16966,134.5,0,277,1.0,754,0,13
321,0.0,3,22.0,0,0,A/5 21172,7.25,1,278,0.0,204,2,12
322,0.0,3,27.0,0,0,349219,7.8958,1,279,0.0,192,2,12
323,1.0,2,30.0,0,0,234818,12.35,0,280,1.0,741,1,9
324,1.0,2,22.0,1,1,248738,29.0,0,74,1.0,118,2,13
325,0.0,3,20.18566666666667,8,2,CA. 2343,69.55,1,144,0.0,700,2,12
326,1.0,1,36.0,0,0,PC 17760,135.6333,0,281,1.0,860,0,9
327,0.0,3,61.0,0,0,345364,6.2375,1,282,0.0,581,2,12
328,1.0,2,36.0,0,0,28551,13.0,0,283,1.0,50,2,13
329,1.0,3,31.0,1,1,363291,20.525,0,149,0.6666666666666666,290,2,13
330,1.0,1,16.0,0,1,111361,57.9792,0,284,1.0,341,0,9
331,1.0,3,17.69,2,0,367226,23.25,0,263,1.0,502,1,9
332,0.0,1,45.5,0,0,113043,28.5,1,285,0.0,614,2,12
333,0.0,1,38.0,0,1,PC 17582,153.4625,1,233,0.6666666666666666,294,2,12
334,0.0,3,16.0,2,0,345764,18.0,1,18,0.0,817,2,12
335,1.0,1,36.19,1,0,PC 17611,133.65,0,286,1.0,261,2,13
336,0.0,3,25.3,0,0,349225,7.8958,1,287,0.0,203,2,12
337,0.0,1,29.0,1,0,113776,66.6,1,137,0.5,622,2,12
338,1.0,1,41.0,0,0,16966,134.5,0,288,1.0,109,0,9
339,1.0,3,45.0,0,0,7598,8.05,1,289,1.0,185,2,12
340,0.0,1,45.0,0,0,113784,35.5,1,290,0.0,84,2,12
341,1.0,2,2.0,1,1,230080,26.0,1,134,0.6666666666666666,562,2,8
342,1.0,1,24.0,3,2,19950,263.0,0,26,0.5,257,2,9
343,0.0,2,28.0,0,0,248740,13.0,1,291,0.0,159,2,12
344,0.0,2,25.0,0,0,244361,13.0,1,292,0.0,715,2,12
345,0.0,2,36.0,0,0,229236,13.0,1,293,0.0,258,2,12
346,1.0,2,24.0,0,0,248733,13.0,0,172,0.75,104,2,9
347,1.0,2,40.0,0,0,31418,13.0,0,155,0.25,747,2,9
348,1.0,3,29.12,1,0,386525,16.1,0,294,1.0,197,2,13
349,1.0,3,3.0,1,1,C.A. 37671,15.9,1,295,1.0,175,2,8
350,0.0,3,42.0,0,0,315088,8.6625,1,296,0.0,209,2,12
351,0.0,3,23.0,0,0,7267,9.225,1,297,0.0,591,2,12
352,0.0,1,53.425,0,0,113510,35.0,1,298,0.0,851,2,12
